session,category,state,browser,language,os,id,prod_cat,ad_id,purch_flag
1291466252,"personal","co","Chrome","ar","win8",5447,"tablet",18,"false"
1351044569,"student","mi","IE","en","win7",6101,"mobile",17,"false"
1041027312,"personal","ca","Chrome","cn","win8",4567,"mobile",10,"false"
1378410174,"business","wi","Mobile","en","linux",5006,"laptop",8,"false"
1524455830,"business","ma","Firefox","en","win7",4376,"tablet",6,"true"
1033863634,"personal","oh","IE","pt","win7",8712,"tablet",3,"false"
1330036704,"personal","nj","Chrome","sp","win7",4601,"laptop",6,"false"
1721807396,"business","ut","Safari","cn","win7",4338,"laptop",14,"false"
1784305232,"personal","wa","Firefox","cn","win8",6446,"laptop",12,"false"
1697395673,"business","tx","Firefox","en","Mac",921,"mobile",4,"false"
1374347696,"personal","or","Chrome","en","linux",2810,"tablet",2,"false"
1067978912,"student","co","Chrome","cn","win7",1128,"laptop",12,"false"
1043950940,"student","oh","Mobile","de","xp",6786,"mobile",17,"false"
1140126198,"business","ca","Firefox","en","win7",7194,"tablet",17,"false"
1196524218,"business","mo","Firefox","cn","win7",7056,"tablet",8,"false"
1813045795,"personal","ca","Firefox","fr","win7",5649,"laptop",7,"false"
1718171790,"personal","ok","Chrome","de","win7",6772,"laptop",16,"false"
1358059726,"student","ar","Chrome","cn","xp",5403,"desktop",13,"false"
1814369422,"personal","tx","Chrome","en","win7",2649,"tablet",8,"false"
1030016966,"business","co","IE","en","win7",7660,"tablet",8,"false"
1146100915,"personal","il","Chrome","cn","win7",2853,"tablet",10,"false"
1914199266,"student","il","Chrome","en","xp",9619,"desktop",5,"false"
1509539121,"personal","la","Chrome","sp","win7",3319,"server",8,"false"
1984220732,"business","ga","Safari","cn","win7",2655,"desktop",12,"false"
1191837501,"business","va","IE","fr","xp",5205,"tablet",9,"false"
1604521021,"business","ms","IE","sp","xp",2846,"desktop",3,"false"
1654556269,"personal","ny","Mobile","en","Mac",7623,"desktop",7,"false"
1026050646,"student","nj","IE","en","Mac",2867,"laptop",10,"false"
1467956867,"personal","az","Chrome","en","xp",1587,"tablet",13,"false"
1830816706,"personal","wa","IE","fr","win7",3795,"desktop",5,"false"
1774372339,"business","il","IE","en","Mac",7478,"desktop",1,"false"
1290753554,"student","mi","Chrome","en","win7",5031,"laptop",13,"true"
1876140521,"personal","ca","Chrome","cn","win7",2688,"tablet",1,"false"
1758238626,"business","ut","Firefox","sp","win7",1192,"tablet",8,"false"
1584327530,"personal","or","Chrome","en","win8",2552,"tablet",14,"true"
1723702426,"business","ma","Mobile","ar","xp",2022,"laptop",11,"false"
1553521247,"student","ok","IE","en","xp",6980,"desktop",7,"false"
1229582125,"business","ok","Mobile","de","win7",1993,"mobile",3,"false"
1999667191,"personal","ma","Firefox","sp","linux",5992,"desktop",10,"false"
1305899228,"business","in","Chrome","fr","win8",1634,"laptop",7,"false"
1962343565,"student","pa","IE","cn","xp",7389,"laptop",5,"false"
1039503040,"personal","tn","Firefox","cn","win7",7041,"laptop",2,"false"
1070535869,"personal","oh","Mobile","cn","win7",8485,"tablet",9,"false"
1454461286,"personal","pa","Mobile","cn","xp",8474,"tablet",2,"false"
1110035349,"personal","tn","IE","de","win7",6912,"desktop",9,"false"
1366064891,"student","ny","Mobile","en","win8",3245,"tablet",3,"false"
1024077522,"personal","ga","Mobile","fr","xp",2149,"tablet",2,"false"
1164565402,"personal","mi","Safari","sp","win7",3834,"tablet",18,"true"
1838432226,"business","il","Chrome","en","win7",2313,"desktop",11,"false"
1369441570,"personal","sc","Chrome","cn","win7",8891,"mobile",17,"false"
1610146047,"personal","tx","Safari","en","win7",7812,"desktop",12,"true"
1111542599,"business","ga","IE","sp","xp",7049,"desktop",16,"false"
1410313040,"student","tx","IE","cn","win8",7531,"laptop",6,"false"
1038675568,"personal","nc","Chrome","en","win7",3676,"mobile",1,"false"
1343702668,"business","ca","Firefox","cn","win7",3738,"desktop",3,"false"
1635465698,"personal","ny","Mobile","en","win7",8861,"laptop",13,"false"
1881846722,"business","ne","IE","en","win7",8021,"server",9,"false"
1070889056,"business","nj","Chrome","sp","win8",1309,"tablet",9,"false"
1003681548,"student","wa","Chrome","jp","win7",7763,"tablet",17,"false"
1951318930,"personal","ca","IE","sp","win7",9240,"laptop",4,"false"
1184201753,"business","ny","Chrome","en","linux",4627,"server",17,"true"
1904015514,"student","tx","Chrome","pt","win7",5090,"laptop",2,"true"
1614874793,"personal","va","IE","en","win7",1677,"mobile",16,"false"
1826308455,"personal","oh","Mobile","ko","win7",6504,"desktop",5,"false"
1696951883,"business","ca","IE","en","win7",3018,"desktop",9,"false"
1131597053,"student","mi","IE","pt","win7",1898,"desktop",3,"true"
1829069923,"personal","fl","IE","sp","win7",5384,"tablet",17,"false"
1846001887,"business","co","Chrome","cn","win7",964,"desktop",15,"false"
1406881539,"personal","ma","Safari","cn","Mac",3923,"server",4,"false"
1535590290,"personal","ny","Chrome","pt","win8",9438,"desktop",11,"false"
1697138257,"personal","wa","Mobile","en","xp",5042,"desktop",16,"true"
1291306826,"business","fl","Safari","en","win8",8554,"desktop",5,"false"
1892724119,"personal","mt","Mobile","en","win7",6199,"tablet",2,"false"
1783295673,"personal","co","Chrome","en","win8",5957,"mobile",8,"false"
1184098285,"business","mo","Chrome","cn","win7",8303,"tablet",14,"false"
1091033318,"personal","fl","IE","cn","win7",1551,"laptop",8,"false"
1018471723,"business","la","IE","cn","xp",5440,"desktop",3,"false"
1900291700,"business","ca","IE","cn","win8",2285,"tablet",14,"false"
1305917493,"business","il","Chrome","cn","win7",433,"laptop",11,"false"
1594203830,"business","ma","Mobile","cn","win7",9821,"mobile",3,"false"
1074376881,"student","ms","Chrome","sp","win7",9446,"mobile",10,"false"
1168880797,"personal","sc","Chrome","cn","win7",4683,"laptop",16,"false"
1749730534,"student","mi","Chrome","en","win7",479,"laptop",5,"false"
1677399112,"personal","sc","IE","en","win7",6895,"tablet",15,"false"
1354038204,"personal","ut","IE","en","win7",2335,"desktop",4,"false"
1512842048,"personal","az","Chrome","en","win7",3276,"desktop",17,"false"
1132557328,"personal","ca","Mobile","cn","win7",4376,"tablet",18,"false"
1012301559,"student","fl","Chrome","cn","win7",355,"desktop",11,"false"
1820992914,"business","ar","Chrome","cn","xp",4435,"desktop",7,"false"
1413515626,"personal","co","Chrome","ru","win8",8766,"laptop",6,"false"
1607556915,"business","ok","Mobile","cn","vista",9369,"laptop",18,"false"
1827387487,"student","al","Chrome","en","xp",9791,"laptop",1,"false"
1953696587,"personal","ky","Firefox","cn","win7",3721,"laptop",3,"false"
1787491667,"student","al","Chrome","ar","win7",381,"laptop",2,"false"
1598866035,"personal","ca","Mobile","en","vista",4483,"tablet",8,"false"
1938728317,"personal","mi","Chrome","pt","win7",9807,"desktop",2,"false"
1817359824,"student","pa","IE","sp","win7",4225,"desktop",9,"false"
1914254821,"personal","tx","IE","pt","win7",7179,"mobile",6,"false"
1675662765,"student","ca","Chrome","sp","win7",7883,"tablet",17,"false"
1864739880,"business","ca","Chrome","en","win7",4477,"desktop",10,"false"
1874746508,"student","in","Chrome","en","win7",5018,"tablet",15,"false"
1442492285,"personal","or","IE","ru","win7",7103,"mobile",15,"false"
1283227033,"personal","ca","IE","sp","win8",9770,"tablet",1,"false"
1406073582,"personal","pa","Firefox","cn","xp",5693,"mobile",17,"false"
1045637430,"personal","mn","Firefox","cn","Mac",7584,"mobile",18,"false"
1748234200,"personal","ky","Chrome","ko","Mac",3595,"laptop",11,"true"
1641743359,"student","tx","Chrome","en","win7",4085,"tablet",5,"false"
1661505481,"student","wa","Chrome","pt","win7",6812,"mobile",12,"false"
1343146878,"personal","tx","Firefox","en","Mac",2483,"desktop",8,"false"
1081733377,"personal","nj","Safari","sp","win7",804,"server",4,"false"
1690943311,"business","va","Chrome","sp","win7",881,"tablet",5,"false"
1961384712,"personal","oh","Chrome","ru","win7",2931,"laptop",4,"true"
1558704341,"personal","pa","Chrome","en","win7",2685,"mobile",2,"false"
1763822870,"business","ia","Chrome","sp","xp",7069,"laptop",10,"false"
1174259538,"business","mi","IE","cn","win7",7409,"desktop",5,"true"
1817653861,"student","la","Chrome","sp","win7",4713,"tablet",18,"false"
1131044154,"business","va","IE","fr","xp",108,"tablet",12,"false"
1157508451,"personal","ca","Safari","en","win7",1078,"laptop",14,"false"
1422095544,"personal","az","Chrome","jp","win7",6580,"laptop",18,"false"
1562467941,"personal","ca","IE","cn","win7",7717,"laptop",15,"false"
1965008543,"business","il","IE","en","Mac",7037,"mobile",13,"true"
1318855522,"business","tx","Safari","en","win7",9321,"laptop",15,"true"
1247137899,"student","ak","Chrome","cn","Mac",6531,"tablet",14,"false"
1349819258,"personal","il","Chrome","en","win7",8290,"server",7,"false"
1496189649,"personal","ca","Firefox","ru","Mac",7903,"desktop",5,"false"
1466590008,"personal","wi","IE","pt","win7",9939,"desktop",4,"false"
1744947276,"personal","in","IE","cn","Mac",956,"mobile",2,"true"
1411925301,"business","tx","Firefox","ru","win7",8688,"mobile",14,"false"
1274124514,"student","in","Safari","cn","Mac",3327,"laptop",9,"false"
1673215619,"personal","ca","Mobile","en","xp",5428,"tablet",9,"true"
1697130225,"business","ny","Chrome","ru","Mac",6457,"tablet",6,"false"
1918187643,"personal","ca","Safari","sp","win7",2005,"mobile",9,"false"
1321397463,"personal","wa","Safari","cn","win7",850,"laptop",12,"false"
1542101529,"business","il","Chrome","en","win7",6570,"laptop",10,"false"
1957378932,"personal","mo","Mobile","pt","xp",9122,"tablet",7,"false"
1982072070,"personal","ny","IE","fr","win7",5294,"desktop",1,"false"
1650327259,"personal","ok","Chrome","de","win7",5535,"laptop",16,"false"
1666997768,"student","tx","Mobile","cn","Mac",1671,"desktop",8,"true"
1616127175,"personal","oh","Mobile","en","win7",7873,"tablet",3,"false"
1109537993,"business","il","Firefox","cn","win8",6115,"tablet",10,"false"
1207285355,"personal","vt","IE","en","win7",46,"tablet",13,"false"
1417158873,"personal","co","Mobile","jp","win7",7695,"tablet",1,"false"
1717371107,"personal","nj","Chrome","en","win7",991,"tablet",8,"false"
1480773639,"business","la","Firefox","cn","xp",6466,"laptop",9,"false"
1301692768,"personal","az","Mobile","en","win8",2454,"laptop",2,"false"
1116345179,"personal","nc","IE","fr","win7",3156,"tablet",11,"false"
1197795842,"business","sd","IE","jp","win7",1450,"tablet",6,"false"
1638677019,"personal","ms","Opera","pt","xp",2182,"mobile",11,"false"
1028801834,"student","fl","Chrome","jp","win8",7272,"tablet",3,"false"
1652445058,"student","md","Mobile","cn","win7",6329,"tablet",14,"false"
1777399969,"personal","pa","Chrome","sp","win7",840,"mobile",4,"false"
1592802271,"student","tx","Mobile","ru","win7",9575,"mobile",2,"false"
1140561512,"student","ma","Chrome","cn","win7",8221,"mobile",18,"false"
1162501050,"student","mi","Mobile","sp","win7",9851,"desktop",12,"false"
1626511329,"personal","in","IE","jp","win7",53,"desktop",2,"false"
1893602632,"personal","ca","Chrome","en","win7",1157,"mobile",5,"false"
1350320585,"student","tx","IE","ar","win7",1143,"laptop",11,"false"
1897978723,"personal","ca","IE","en","win7",3404,"desktop",12,"false"
1315856023,"personal","or","Mobile","en","win7",3775,"laptop",2,"true"
1523141895,"personal","ar","IE","sp","win7",8466,"mobile",10,"false"
1828787874,"business","ok","Mobile","en","win7",7011,"desktop",3,"false"
1339799867,"business","in","Mobile","sp","win7",1053,"mobile",18,"true"
1357829561,"personal","oh","Safari","cn","win7",449,"laptop",13,"false"
1409077591,"personal","wv","Chrome","ru","Mac",8531,"laptop",11,"true"
1998242411,"personal","tx","IE","ru","Mac",3058,"tablet",15,"false"
1225335690,"student","ia","IE","cn","win7",8818,"laptop",1,"false"
1436389707,"student","tx","IE","en","Mac",8927,"mobile",6,"false"
1899499858,"business","nc","Chrome","cn","win7",8098,"mobile",15,"false"
1056686129,"personal","ma","Firefox","en","linux",4784,"tablet",7,"false"
1920963540,"business","ca","Safari","ru","vista",4849,"laptop",18,"false"
1608544804,"business","hi","Chrome","en","xp",2831,"tablet",15,"false"
1352874846,"personal","ne","IE","en","win8",2860,"desktop",16,"false"
1496464827,"personal","or","Chrome","sp","xp",5903,"desktop",16,"false"
1204707293,"personal","tx","Firefox","en","win8",4841,"mobile",3,"false"
1883860142,"business","al","Mobile","cn","xp",6616,"mobile",18,"false"
1079931066,"business","ny","IE","en","Mac",6342,"tablet",11,"false"
1578423560,"business","ok","Safari","de","Mac",136,"tablet",13,"false"
1570775454,"personal","mo","Safari","en","win7",8993,"tablet",9,"false"
1732466720,"business","ut","Firefox","en","win7",9913,"desktop",9,"false"
1007680207,"business","fl","Chrome","fr","win7",3207,"mobile",11,"false"
1162154309,"business","ca","Firefox","cn","win7",6687,"laptop",9,"false"
1579593995,"student","tx","Firefox","cn","win7",137,"desktop",4,"false"
1042636185,"business","co","Chrome","fr","win7",1623,"laptop",2,"false"
1920382061,"student","il","IE","sp","win7",9268,"tablet",12,"false"
1479948587,"business","va","Firefox","cn","win7",1007,"desktop",14,"false"
1673137840,"personal","tx","Safari","en","win7",7178,"tablet",14,"false"
1943244783,"business","fl","Safari","cn","win7",1389,"laptop",11,"true"
1966986468,"personal","tx","Mobile","ru","win7",2463,"desktop",9,"true"
1291843936,"business","va","Mobile","cn","xp",3432,"laptop",1,"false"
1739065447,"student","ma","Safari","ru","win8",4508,"desktop",12,"false"
1076946246,"business","vt","Mobile","fr","win7",7149,"mobile",11,"false"
1046685617,"student","nm","Chrome","cn","win8",8245,"laptop",17,"false"
1531523404,"business","wa","Chrome","jp","linux",3010,"mobile",6,"false"
1408168022,"personal","tx","Mobile","cn","win7",7254,"server",17,"false"
1941612847,"personal","ny","Chrome","ar","win8",335,"laptop",3,"false"
1933814143,"business","al","IE","ar","win7",1597,"mobile",10,"false"
1939497482,"business","fl","Chrome","en","win7",6911,"laptop",14,"false"
1369736641,"personal","ca","IE","en","win8",4909,"laptop",5,"true"
1467309569,"personal","ca","Chrome","en","linux",2473,"mobile",9,"false"
1689223112,"business","ct","Chrome","de","win7",841,"desktop",6,"false"
1336455496,"personal","wa","Mobile","sp","linux",4859,"tablet",1,"false"
1705727771,"student","ne","Chrome","pt","xp",9669,"laptop",18,"false"
1166181273,"student","pa","Chrome","en","xp",4847,"laptop",7,"true"
1999003566,"student","fl","Chrome","en","win7",8303,"mobile",6,"false"
1731173618,"personal","nj","Mobile","cn","Mac",7842,"tablet",16,"false"
1321114972,"student","tx","Firefox","fr","win7",9584,"laptop",6,"false"
1658075319,"business","oh","Chrome","cn","win7",3387,"mobile",16,"false"
1447693366,"student","tn","Safari","en","xp",2185,"desktop",8,"true"
1886577005,"student","co","Firefox","cn","win7",8296,"tablet",15,"false"
1355094367,"student","tx","Mobile","en","win7",8848,"laptop",16,"false"
1485188237,"business","nc","Chrome","sp","Mac",3050,"laptop",12,"false"
1227820072,"business","ny","IE","ar","win7",3003,"laptop",4,"false"
1196130554,"business","ct","Chrome","en","win7",6713,"desktop",11,"false"
1564885745,"personal","oh","Chrome","en","win7",7189,"tablet",17,"false"
1074536941,"personal","tx","IE","cn","win7",6782,"laptop",15,"false"
1609265215,"business","pa","Firefox","ar","win7",9928,"tablet",15,"false"
1758718464,"personal","sc","IE","ru","win7",6667,"desktop",17,"false"
1215674511,"business","al","Safari","ko","win7",2636,"laptop",4,"false"
1764178258,"business","ma","IE","de","Mac",8587,"mobile",4,"true"
1093586455,"personal","tx","Firefox","ru","win7",1234,"laptop",18,"false"
1264925090,"student","or","Chrome","de","win7",3895,"laptop",12,"false"
1010449749,"business","mo","Chrome","cn","Mac",3898,"tablet",6,"false"
1859208493,"personal","me","IE","sp","win8",7534,"tablet",13,"false"
1458945975,"personal","az","IE","cn","win7",2441,"mobile",6,"false"
1346299562,"personal","wa","Firefox","en","xp",3996,"laptop",8,"false"
1298996470,"personal","mi","Mobile","sp","win8",8019,"server",3,"false"
1258189652,"personal","ca","IE","en","win7",7260,"mobile",11,"false"
1571004258,"personal","ny","IE","en","win8",4045,"laptop",4,"false"
1575071878,"personal","co","Chrome","ko","win7",3505,"desktop",12,"false"
1535748570,"personal","al","Chrome","de","win7",2860,"mobile",4,"false"
1669697632,"personal","nc","Firefox","cn","win7",510,"laptop",7,"false"
1986194728,"student","ma","Chrome","en","xp",5649,"laptop",6,"false"
1417692121,"student","tx","Chrome","en","win7",6119,"laptop",18,"false"
1245441549,"personal","ca","Firefox","en","xp",8161,"tablet",11,"false"
1390962074,"personal","va","Firefox","en","win7",5045,"tablet",18,"false"
1386303411,"business","il","Chrome","en","win7",4535,"desktop",12,"false"
1292197650,"student","mo","Mobile","cn","xp",4157,"mobile",7,"false"
1905178795,"personal","fl","Mobile","en","win7",1564,"desktop",13,"false"
1025103715,"student","ky","Firefox","cn","win7",4741,"mobile",4,"false"
1300316982,"student","sc","IE","de","Mac",3870,"desktop",6,"false"
1677201715,"personal","ca","Chrome","cn","Mac",9576,"mobile",5,"false"
1901462546,"business","ga","IE","ar","win7",3714,"desktop",11,"false"
1555236554,"student","il","Firefox","en","Mac",5882,"desktop",3,"true"
1272143061,"personal","mo","IE","en","Mac",3393,"laptop",6,"false"
1395912603,"personal","fl","Chrome","cn","win7",7763,"laptop",10,"false"
1778783831,"personal","nd","Chrome","en","xp",1348,"tablet",10,"false"
1643316666,"business","nj","Firefox","en","win7",659,"server",11,"false"
1505708161,"personal","ny","Mobile","cn","win7",8043,"tablet",1,"false"
1210261089,"personal","pa","Chrome","fr","win7",8426,"mobile",18,"false"
1431953286,"business","ca","Safari","cn","win7",3624,"desktop",15,"false"
1357620510,"student","ca","IE","pt","win7",3059,"server",12,"false"
1382671746,"student","oh","Chrome","cn","win7",6489,"laptop",1,"false"
1732600834,"business","ca","Safari","cn","win7",6986,"laptop",7,"false"
1509620438,"student","ga","Chrome","cn","Mac",3492,"tablet",3,"false"
1840998809,"student","tx","Chrome","en","linux",7459,"tablet",10,"false"
1914147983,"student","wa","IE","sp","win7",4055,"mobile",15,"false"
1820073823,"personal","mn","Mobile","cn","xp",4306,"desktop",18,"false"
1867933962,"personal","ia","Chrome","cn","win8",5054,"desktop",10,"false"
1719666031,"personal","ny","IE","cn","win7",3455,"laptop",11,"false"
1513626022,"personal","fl","Mobile","en","win7",2827,"mobile",2,"false"
1058862843,"personal","pa","Firefox","en","win7",783,"mobile",5,"false"
1146307556,"personal","oh","Chrome","en","win8",9262,"laptop",8,"false"
1180361737,"student","nc","Firefox","jp","xp",2220,"mobile",4,"false"
1486542521,"student","fl","Firefox","sp","win7",6775,"desktop",6,"false"
1718915157,"personal","oh","Chrome","pt","win7",4479,"server",5,"false"
1395672848,"business","ga","Mobile","en","win7",1545,"tablet",4,"false"
1325198815,"business","ca","Chrome","cn","win7",1333,"desktop",7,"false"
1105496071,"personal","ca","Safari","sp","xp",3965,"tablet",14,"false"
1827578504,"personal","md","Chrome","en","win7",6977,"laptop",17,"false"
1961315729,"business","or","Chrome","sp","win7",5023,"mobile",14,"false"
1662707663,"business","ca","Mobile","cn","xp",8648,"laptop",13,"false"
1555276856,"business","nj","IE","en","win7",7422,"tablet",13,"false"
1256121494,"personal","ma","Chrome","en","xp",5230,"tablet",9,"false"
1219218928,"business","nc","Chrome","en","win7",6517,"laptop",1,"false"
1424043470,"personal","fl","Chrome","cn","win7",6386,"desktop",10,"false"
1762307550,"personal","ar","IE","de","xp",3498,"desktop",13,"false"
1297422108,"personal","or","Firefox","sp","Mac",4322,"tablet",4,"false"
1877643857,"business","mo","Firefox","cn","win7",8319,"tablet",11,"false"
1478087807,"student","fl","Mobile","jp","win7",2316,"laptop",10,"false"
1705017252,"student","ma","Chrome","en","win7",3952,"mobile",3,"false"
1717443847,"personal","ar","IE","en","xp",1131,"mobile",11,"false"
1962120195,"personal","tx","Chrome","cn","Mac",657,"laptop",10,"false"
1376782131,"personal","la","Mobile","fr","win7",1850,"laptop",14,"false"
1367917593,"business","md","IE","jp","win7",4970,"tablet",1,"false"
1231489634,"personal","ct","Chrome","cn","win7",4287,"laptop",12,"false"
1263610522,"business","ny","IE","cn","win7",4253,"desktop",15,"false"
1281215121,"personal","wa","IE","cn","win7",3125,"tablet",18,"false"
1143142456,"personal","hi","IE","cn","xp",5545,"desktop",6,"false"
1327111412,"student","fl","Firefox","sp","win7",3021,"server",2,"false"
1856228108,"personal","sc","Safari","ar","linux",806,"mobile",10,"false"
1151787819,"personal","nm","Chrome","en","win8",4828,"laptop",7,"false"
1387401997,"personal","ca","Safari","en","win8",9342,"desktop",5,"false"
1018994749,"student","mn","Chrome","ru","win7",6085,"desktop",1,"false"
1696121436,"personal","wv","Firefox","en","win7",6953,"laptop",1,"false"
1918172643,"personal","ok","Chrome","en","linux",1296,"mobile",9,"false"
1880785541,"business","ma","Chrome","cn","xp",9974,"mobile",12,"false"
1430561132,"personal","mi","IE","jp","Mac",7420,"desktop",16,"false"
